105	6	6.639770	2.061581	5.798066	4.454551	-2.560690	5.511918	-9.406814	6.128715	5.807559	-11.317280	-2.155087	-13.311497	4.731169	-8.031650	0.853689	6.375120	-12.653695	5.512781	-12.247733	8.176687	11.581382	-14.225322	4.059603	-13.311562	-10.162520	-3.994357	0.875056	-9.391108	-11.894501	-13.310610	4.012487	4.163756	11.577754	1.525484	3.949160	5.459646
175	6	3.557512	2.955599	11.247020	-0.101611	6.565941	6.862006	-11.476964	8.207569	11.247046	-12.228157	6.569708	-5.319344	-10.872816	8.207569	11.247046	-11.542855	6.569708	0.526537	-12.064592	-10.521005	-0.486818	-5.236564	-11.447099	0.591503	2.210658	-15.662034	-0.486818	6.436637	-11.447099	7.548743	-12.929797	-10.521005	-0.486818	-6.026108	-11.447099	-5.282232
228	6	-6.608875	7.137028	6.573319	-13.615059	-0.566815	-8.355519	2.710151	-7.690502	-0.294165	6.942471	-10.167373	5.831402	-7.081414	-5.035335	-0.293615	-9.072945	-10.167143	-8.381722	4.260487	3.241710	6.572598	2.733102	-0.568095	6.334519	-6.953225	7.240706	12.088743	-14.617213	4.562778	-8.376634	3.725644	3.769485	12.088731	1.709561	4.562599	6.179783
335	6	3.142243	-7.163949	-4.450801	3.059834	-14.387415	-1.323234	8.944877	-11.351269	-4.661776	8.634323	-14.424429	4.893292	0.720637	0.159530	0.843787	-7.454477	-5.702836	-7.862064	-6.874289	-5.530281	-3.354016	-8.141353	-14.109695	-11.771889	5.541468	2.370351	6.747528	3.975548	2.712281	4.887126	-10.341244	5.708348	6.748340	-12.811218	2.721449	-12.920883
347	6	-8.429549	5.403685	12.023839	-4.613510	8.618087	1.696601	-4.372523	5.370305	12.023836	1.649807	8.618083	1.961029	-4.706278	-8.473825	1.097351	6.151653	-3.177919	1.961028	-10.558444	5.403801	12.023839	-9.349652	8.618087	-8.027673	-9.266242	-8.452674	1.097351	-4.849556	-3.177837	-3.385024	-4.742003	-8.472809	1.097351	1.392623	-3.177915	-3.151614
363	6	-10.085805	5.008551	6.128931	-6.275374	-1.536936	-6.507158	-10.575589	6.524756	12.384134	-9.560822	5.026585	-6.507768	1.837450	-3.798486	0.107961	5.446615	-12.183647	-1.531966	-7.580791	-3.511793	0.107975	-4.521360	-12.183544	-6.500773	3.711500	-8.076461	0.107955	6.909589	-12.183708	3.937270	3.223696	3.258620	12.384130	1.452513	5.026550	3.348024
399	6	-3.194297	3.534096	4.248850	-2.633883	-0.239379	3.962288	-10.509432	3.566210	4.248871	-8.058282	-0.239343	-9.127244	-10.841470	7.899044	10.587245	-13.247343	6.594884	-9.135961	-7.665024	-5.953351	1.875440	2.518282	-10.168308	2.029545	-14.798949	-5.951891	1.875440	-7.711725	-10.168308	-9.156304	-1.121355	3.435599	4.248767	4.332817	-0.239522	5.476431
403	6	-15.261550	7.788905	11.840478	-14.283637	6.741436	-9.994295	-14.648695	-5.425802	-0.859133	-9.748472	-10.752077	-9.994295	-15.261540	5.619558	11.090769	-14.283609	1.126376	-9.994295	3.232540	1.682758	9.649497	3.926830	0.470336	6.670998	4.200944	-10.988720	-0.878570	8.486821	-11.616891	6.809479	3.455239	4.164480	11.828217	3.940201	6.614342	6.737642
518	6	5.202136	-10.279135	-0.529588	8.306040	-11.212102	-0.334570	-2.281446	6.407236	11.478447	-14.173581	6.672325	-12.497916	2.789064	0.887347	10.538337	2.189777	6.648248	-0.519307	7.808475	-10.279166	-0.529589	8.309332	-11.212102	5.790317	-0.517726	-4.096949	1.097392	-8.115157	-11.014912	-10.598861	4.950531	0.316761	10.236453	2.232621	6.594949	5.731584
591	6	-12.057469	7.048853	11.124315	-13.015468	5.458291	-12.706812	-11.916291	-8.728440	-1.406090	-7.624392	-10.502375	-12.706810	4.284412	2.094591	11.110866	0.657384	5.383236	3.211542	-7.334885	4.012644	4.662244	-12.227973	-0.936918	-12.706812	5.181795	-14.842332	-1.406090	6.163708	-11.027266	4.517752	3.329750	-2.230775	5.058243	1.101500	4.390003	3.740330
