203	8	-14.261392	-5.694086	1.488641	-8.532580	-4.956835	-7.738135	0.798474	-2.782144	7.808111	1.140463	1.990207	5.745641	-12.775270	4.004416	8.000807	-13.391517	8.139269	-7.738132	1.998846	-10.342696	1.488641	6.744686	-4.956835	6.257598	0.567884	-0.547590	7.815663	0.480554	2.182664	4.676440	0.924688	-2.973363	7.899975	2.216704	4.501998	6.106657	0.781173	-2.746230	7.803008	1.106238	1.966930	5.710158	0.753048	-2.679528	7.795475	1.051820	1.935583	5.648757
605	8	-15.463697	3.003545	9.220821	-9.155270	6.142606	-5.867680	-1.654889	-1.531420	7.183432	1.236836	5.434196	3.782447	-1.572821	-2.737159	6.913367	1.602995	5.349545	5.026074	-3.887837	-2.600358	6.334628	1.428774	4.997849	3.726006	-1.840057	-1.443867	7.148275	1.238354	5.412180	3.630658	-2.564722	-1.320555	6.956361	1.269833	5.314365	3.456748	-1.198548	-2.186971	7.143158	1.434175	5.452847	4.876680	-3.696555	-2.078546	6.535832	1.355464	5.107066	3.562878
1820	8	-13.353132	6.190342	11.541438	-17.046089	6.645537	-9.370644	-12.607624	-10.713985	1.779723	-11.433154	-7.357972	-9.352733	5.512154	-16.920682	1.779723	7.700333	-7.357972	6.574521	2.825658	-1.894824	10.899272	1.983571	5.434322	6.332811	3.223476	-1.573066	11.038377	1.982116	5.515564	6.330488	4.396346	0.888733	11.168952	1.913677	5.740113	6.306527	4.428973	0.082708	11.251844	1.948328	5.793499	6.317570	3.010037	-1.760921	10.965079	1.983489	5.472437	6.331806
2434	8	-2.675316	-8.833201	-1.486963	0.914864	-12.393049	-5.420202	-5.853508	-8.833201	-1.486963	-6.240161	-12.393049	-9.849806	7.718177	5.567392	10.429678	2.568895	6.084912	0.531220	-5.820407	7.953473	10.429681	-11.931619	6.085013	-10.669327	7.838935	-11.219283	-1.486983	8.259357	-12.395526	0.778768	7.954898	5.567390	10.429678	2.698408	6.084912	7.141932	7.928121	-11.219284	-1.486983	8.369380	-12.395526	7.326048	4.675204	5.587423	10.429678	-3.816368	6.084915	3.809878
3307	8	-12.131163	7.220538	11.761526	-8.749184	5.925716	-9.179614	-6.771616	-8.749519	-1.008890	5.749968	-6.832632	-3.057192	-1.588484	-8.750186	-1.008890	6.551543	-6.832664	2.810570	-3.531285	7.220535	11.761526	0.385634	5.925716	2.792486	-12.128192	5.869538	11.647625	-8.716188	0.106830	-9.179614	5.193666	-14.376196	-1.008890	8.775478	-6.901255	9.292511	-3.519799	5.869534	11.647625	0.433646	0.106830	2.792495	3.540671	1.682645	11.759732	2.696680	5.595116	9.074536
3895	8	4.640223	-12.435030	-1.749517	7.436349	-9.848018	7.733725	-10.041994	5.784658	9.006054	-7.936938	5.031183	-9.313375	-8.944334	-6.862958	-1.742254	-4.259148	-9.843796	-9.211829	3.549348	1.176796	8.827090	3.512957	4.968947	7.445542	3.531643	1.364121	8.846058	3.511926	4.954135	7.438845	3.572490	0.634679	8.720372	3.520664	4.983205	7.462357	2.732908	-1.378680	7.419110	3.572103	3.373934	7.465501	3.556438	0.228830	8.595592	3.529072	4.947286	7.471370
4272	8	4.884041	-17.210462	-3.766808	5.304942	-4.753880	7.207439	-3.207237	-4.624549	0.242672	-7.104844	5.253750	3.345560	-3.215047	-10.879218	-3.757165	-7.105058	-4.690239	3.345182	-4.461908	6.744238	6.331548	-15.946572	9.314889	-2.166274	-2.526859	6.744238	6.331548	-13.271382	9.314889	3.396953	-5.349056	-4.624549	0.242672	-9.751604	5.253750	-2.170175	-5.356584	-10.879218	-3.757165	-9.751604	-4.690239	-2.170191	3.644894	2.415132	6.329896	-0.949454	9.239744	5.319529
4573	8	5.145075	-16.626462	-0.472069	6.836112	-4.618882	7.488511	4.963252	0.361080	11.486996	1.738475	7.942546	7.400359	-7.243467	6.733671	11.487021	-10.307912	8.772147	1.748606	3.464839	-4.623062	5.380672	3.708522	4.575940	7.432538	-13.091889	6.733671	11.487021	-15.744657	8.772147	-3.589718	-7.940884	-10.302632	-0.472069	-4.906209	-4.618871	1.748604	-13.789304	-10.302632	-0.472069	-10.678662	-4.618871	-3.589718	-1.040330	-10.311796	-0.472069	0.861814	-4.618871	5.560699
4832	8	-11.663872	6.838060	12.520413	-15.112525	7.376081	-9.769008	-13.190440	-6.531123	1.933225	-8.565596	-5.428023	-9.769008	5.047115	-13.303944	1.168770	8.244093	-5.437654	5.373187	5.236311	-0.384090	11.783426	1.713783	7.358403	5.371354	4.754119	-0.820616	11.714998	1.710655	7.357383	5.371531	4.466269	1.377177	11.344437	1.564094	7.190627	5.354185	2.420044	-0.808081	11.139254	1.591093	7.148417	5.359692	3.611176	-1.869167	11.454103	1.683658	7.297277	5.371510
5230	8	-10.611276	0.409350	6.909840	-13.105391	-2.027266	0.523228	-10.610176	6.652008	12.122195	-14.568335	4.182083	0.522931	3.067854	-12.014597	1.052653	6.225499	-8.074242	7.545479	-2.171351	-10.871642	1.052653	2.413176	-8.071960	4.552960	-13.332502	-10.868510	1.052653	-8.642388	-8.071947	0.506466	-12.278081	6.652008	12.122195	-16.030639	4.182083	-4.223316	-12.279775	0.409350	6.909840	-14.568563	-2.027266	-4.223216	-14.967633	-10.868510	1.052653	-10.048264	-8.071947	-4.227605
