PHOX2B	SOX10	PRRX1	GATA3	SNAI2	HAND2
14.642254	0.638483	1.545105	5.236954	-8.202071	7.304319
0.084657	3.470496	1.703865	-7.617055	-7.764489	-4.739575
11.518955	-2.252591	-4.288624	5.418676	-9.727974	7.304451
4.917540	0.639178	1.545466	-6.831995	-8.201841	-2.545963
7.808735	2.209707	7.239062	-4.118167	3.916224	1.753882
11.517895	-7.388895	-4.323034	5.418676	-13.281034	7.304451
-3.819079	4.955653	7.251072	-15.337454	4.079656	-8.639737
11.602235	2.209707	7.239062	2.190021	3.916224	7.264752
8.951291	-18.963275	-3.464868	4.504738	-9.411828	6.591313
-1.819198	-12.739269	-3.417526	-13.497312	-9.406144	-8.144809
0.407631	3.643624	8.562401	-17.783995	6.851722	-8.025625
-0.000987	-1.717875	8.523437	-14.273753	4.928061	-7.012795
2.207000	-0.064061	8.699856	-12.398086	7.021138	-5.857027
1.108684	-1.592261	8.634119	-12.772458	5.996523	-6.345955
1.201729	-1.498641	8.642520	-12.687330	6.087439	-6.289523
1.667696	-0.894856	8.677219	-12.428457	6.540450	-6.031884
-5.664742	5.998973	7.131273	-15.443276	9.117903	-12.030693
9.971606	1.780626	7.131270	2.587916	9.116610	5.685760
5.281019	-7.627934	-3.676501	2.738843	-5.168152	-0.253782
2.890633	-5.448054	-3.676498	-6.070062	-5.168151	-3.646311
5.285263	-7.067877	-2.256456	2.738730	1.250716	-0.253782
11.134311	-7.628249	-3.676501	5.783496	-5.168152	5.685843
6.434972	1.780629	7.131270	-3.828742	9.116610	5.177918
3.036847	-5.418235	-2.256448	-6.045970	1.250717	-3.609408
7.965147	-16.320970	-4.696031	7.246934	-14.210031	5.483954
-8.125836	-9.822333	-4.696031	-8.523804	-14.210031	-10.259757
12.416319	1.709906	6.237236	2.148891	4.124936	5.428163
0.788262	8.189317	6.237271	-11.700507	4.125077	-8.714442
9.038652	-12.974835	-3.197892	7.733200	-4.668885	7.840702
13.614456	2.553275	6.007932	1.534043	9.008653	7.779085
1.221381	7.177409	6.008528	-12.510963	9.021745	-2.576697
-7.166552	-8.294488	-3.197892	-7.774867	-4.163715	-4.637459
-9.657135	7.592815	7.555082	-13.331544	6.741700	-8.626294
-10.149365	-10.676669	-1.580669	-6.958753	-11.340665	-8.572763
7.545208	2.945658	7.508862	2.459671	6.725546	5.812671
7.136436	-15.426516	-1.662341	8.871655	-11.346160	6.148601
1.644140	-20.736250	-3.972943	-4.737000	-9.687123	-8.261172
6.180861	-21.917045	-3.972943	5.831595	-9.687123	-0.223199
