799	8	-14.809954	-6.595134	1.180041	-6.465840	4.545520	-8.273624	-13.011485	3.048724	6.123189	-8.270281	8.195223	-8.491221	3.261693	-9.093761	1.180040	5.929867	4.545501	6.823354	3.458959	-0.946815	6.017756	4.040281	8.107257	0.321659	2.965237	-8.650971	1.180040	5.298535	4.545501	0.371693	-14.809917	-14.032913	-2.420579	-6.318558	-4.407684	-8.243776	3.483980	-1.064002	5.955574	4.565382	8.075250	6.786093	3.261742	-16.163717	-2.420579	6.034610	-4.407684	6.825042
1127	8	-13.035610	5.256465	7.688385	-16.022614	7.320098	-7.458531	5.073838	-16.484543	-2.372213	7.727313	-8.432663	6.599310	3.674352	-1.438079	7.679304	1.465583	6.398088	6.281246	-13.255729	-10.577592	-2.367784	-10.004593	-8.432622	-7.458516	2.828588	-2.552380	7.663761	1.388411	5.831046	6.282217	4.502555	2.058118	7.672433	0.926179	6.570449	5.595491	4.147774	2.622196	7.669655	0.711475	6.363136	5.322991	4.753409	0.483380	7.678435	1.327420	6.797648	6.076776
1363	8	8.429127	-14.449063	-2.354696	6.771265	-11.353691	6.352416	-5.031139	-8.454866	-2.354295	-7.450541	-11.218404	-8.196734	6.855928	3.422790	7.287734	-1.114864	6.382650	3.922181	-5.329678	9.275956	5.444400	-12.154233	0.762384	-8.196737	2.283144	3.876196	7.290489	-7.975992	6.430738	-3.651317	8.463202	3.353594	5.276694	2.469692	0.520630	6.352389	4.063355	3.354746	5.276814	-6.012097	0.520801	-3.636509	-6.622057	9.312925	7.297775	-13.658997	6.566633	-8.196739
1540	8	-8.939873	5.993607	5.961873	-7.842808	6.570385	-11.260010	-3.441870	-7.094870	-5.592299	-3.663400	0.492015	-11.259437	-0.956238	-7.319796	-5.592302	2.293552	0.492014	-6.674281	9.649370	-14.518368	-6.425089	9.193950	-5.122458	5.608264	9.649369	-12.248661	-5.592305	9.193950	0.492013	5.608264	4.119281	3.119549	5.961424	5.026918	6.570359	5.606000	-3.441868	-9.366383	-6.425089	-3.663400	-5.122458	-11.259437	-0.956236	-9.590825	-6.425089	2.293552	-5.122458	-6.674280
1928	8	-6.660688	2.252963	1.462641	-7.517211	-7.712896	-9.986887	-10.992070	-5.216380	-4.203098	-10.200964	-9.384582	-9.986889	4.911038	4.386767	5.660535	3.880389	-1.442496	7.503931	-10.479223	6.433010	5.661129	-13.057663	-1.439401	-9.986889	-6.510746	0.374300	-1.706238	-7.329633	-7.794762	-9.986887	4.397416	-6.991367	-4.203098	6.928784	-10.724495	7.494601	4.877547	5.625968	5.707714	3.844550	4.051095	7.503577	-10.512271	7.654006	5.707714	-13.106711	4.052459	-9.986889
2256	8	-2.478835	-1.658910	-2.018726	1.993728	4.085727	5.636585	-17.069486	-11.207087	-6.642960	-7.390686	-4.912312	-10.935676	-17.241658	3.649896	3.712885	-8.634236	8.648327	-11.020796	3.239345	-2.155715	-1.871188	6.237280	4.963467	7.193268	2.907802	-2.256702	-1.949913	6.190908	4.899466	7.196221	5.243874	-1.194705	-0.771362	6.242270	5.320255	7.130872	-0.613268	-0.485285	-1.007937	1.156774	4.143841	5.563621	-1.447105	-0.808321	-1.449132	1.144559	4.026135	4.557384
3295	8	-8.295496	6.147816	6.314876	-18.272839	0.143777	-7.723853	4.849481	-12.063962	-1.409009	7.058097	-7.009599	8.038476	3.178649	-0.306701	7.016223	0.235394	2.859612	7.783615	-8.369028	6.579878	8.811248	-18.280745	5.128358	-7.729635	-9.854549	-5.785864	-1.408940	-11.511136	-7.009599	-7.802745	4.496460	0.095522	7.465853	0.237329	3.683447	7.817162	4.536773	0.152472	7.471490	0.237261	3.714148	7.815646	4.738896	0.683232	7.420126	0.236126	3.881950	7.790557
3430	8	-11.325096	5.090939	7.877602	-12.358016	8.606255	-9.399204	0.463954	-0.955186	5.960130	1.880765	7.848203	8.029242	-12.620399	-9.726258	-1.627892	-6.174023	-9.066778	-7.489219	1.304464	-1.421023	6.204777	2.106535	7.967734	8.140956	3.564308	-0.973728	7.056335	2.354442	8.312913	8.180769	3.656150	1.422538	7.700167	2.161302	8.391266	8.084897	2.324955	-1.729454	6.562200	2.291732	8.123264	8.182531	3.569396	2.556353	7.687080	1.896235	8.281771	7.984936
4448	8	-7.780515	9.245003	7.178808	-9.923195	5.013105	0.101944	4.162851	-9.173309	-5.710359	6.952750	-9.595953	8.010903	-1.940065	2.236447	0.122204	-5.599400	-3.124677	0.104567	-7.641965	-3.565576	-3.489438	-5.270583	-7.772121	0.107127	-2.045099	-3.565576	-3.489438	1.803376	-7.772121	6.323596	-7.668463	2.236447	0.122204	-10.712796	-3.124677	-5.485183	-13.364818	-3.565576	-3.489438	-10.385257	-7.772121	-5.485183	-13.498419	9.245003	7.178808	-15.035019	5.013105	-5.485183
4485	8	4.267091	-12.067407	-7.143299	6.718565	-10.447776	0.636340	-2.118146	-9.763498	-7.143293	5.027692	-10.447731	6.018064	-13.187657	-9.556753	-7.143289	-5.946382	-10.447715	-6.545475	-13.105205	5.543728	5.429512	-7.773600	6.486973	-6.545475	4.735438	2.907821	5.429437	7.284780	6.423547	6.875579	4.296301	-12.075954	-7.143299	9.111627	-10.447776	6.875579	-1.771000	5.286844	5.429512	3.187252	6.486235	6.558232	4.664358	2.925187	5.429440	4.891350	6.425062	0.636340
