2	4	7.094232	-13.943553	-3.128189	11.935556	-13.572680	7.023021	-7.451648	-8.410564	-3.128189	0.455504	-13.572534	-5.792421	-13.101194	6.680175	6.981658	-11.138416	4.546406	-11.329962	-5.425051	-8.410564	-3.128189	2.423443	-13.572534	-4.150362
5	4	-5.770499	9.104288	7.505488	1.359415	4.802873	-2.449990	-8.879241	-6.518184	-1.937060	2.599906	-5.748944	-2.449989	5.182367	9.003188	7.505488	9.955988	4.802873	5.696917	-13.074073	9.104288	7.505488	-2.859170	4.802873	-7.152496
6	4	3.741454	3.407616	8.234126	6.054503	7.414840	6.365628	-13.516555	5.062090	8.270046	-10.026590	7.414861	-10.228477	-11.610512	-11.561887	-1.742828	-4.308329	-6.945899	-10.227427	5.660860	-14.581038	-1.742830	10.547970	-6.945899	6.366125
7	4	-4.032005	-10.637215	-6.532092	0.072149	-12.992780	-5.059217	7.323111	2.385276	5.082411	5.923023	5.305416	6.916436	6.655244	-13.812886	-7.456130	9.774973	-12.992780	6.916436	-8.996549	5.720238	5.093316	-10.314673	5.312063	-9.920405
14	4	-10.561151	-7.568703	-3.171116	1.152612	-11.085463	-2.560299	1.501881	-8.122770	-3.171116	11.373852	-11.085463	6.238578	-15.244332	9.798172	9.215004	-9.739414	5.455826	-7.794574	3.378389	5.526690	9.215004	6.625719	5.455826	6.556336
18	4	-2.662513	-8.987222	-2.490966	3.395810	-10.326541	3.768297	-14.510867	-8.987199	-2.490966	-6.965339	-10.326540	-8.465364	-13.030998	6.737502	6.204398	-11.991392	6.899756	-9.143930	3.158756	-15.677500	-2.490988	9.343927	-10.331943	8.851297
21	4	6.989290	-15.425495	-7.440288	10.741396	-12.257495	6.316407	-9.621402	-11.641877	-7.440281	-6.175486	-12.111763	-7.985507	6.896805	1.255122	4.566296	8.150079	5.582332	6.316407	-10.150354	5.846382	4.796658	-9.483483	5.704697	-7.985510
23	4	-9.880622	-8.613419	-3.942962	-5.526330	-9.293705	-3.365714	4.764405	-14.428250	-4.056814	10.737166	-9.293855	7.444459	-4.110933	-8.613421	-3.942963	1.475720	-9.293705	-0.675148	-9.750276	3.071517	6.939972	-11.250275	5.642904	-6.557528
27	4	-9.410770	-10.270094	-1.391640	0.036510	-7.993398	-7.266097	4.244935	-13.571954	-1.391888	8.592972	-7.993418	6.134205	-10.208619	6.842895	5.938265	-9.842088	8.344316	-10.411581	4.591875	-1.978624	5.676697	3.291787	4.394787	6.153481
28	4	-4.253992	-7.901372	-1.636126	5.483403	-11.234603	4.389773	-14.683458	7.641511	8.094787	-11.226523	4.836432	-7.790692	-8.222211	3.329135	3.521492	-5.966726	-1.628845	-7.784169	-14.380114	-7.888738	-1.634877	-5.821472	-11.233953	-7.790675
