2	2	-15.559883	-5.651408	-1.717481	-11.592116	-8.512886	-6.048449	-14.560817	6.801829	7.366490	-17.527464	7.403504	-6.048449
3	2	-17.690858	1.961451	7.520000	-16.057021	6.912592	-12.784626	-15.410235	-14.027763	-0.958719	-9.870958	-9.976875	-12.784107
5	2	-13.639664	-9.977917	-6.914812	-9.539390	-11.960435	-11.860226	-13.255629	8.845004	5.711092	-12.129296	7.112767	-11.858564
7	2	-10.995305	6.883662	8.974535	-15.788475	6.345401	-7.648897	-10.505260	-4.529811	-1.912084	-10.254651	-2.083401	-7.648881
8	2	-7.791242	-15.162835	-6.007271	-6.214997	-10.482739	-13.503920	-7.933810	2.986785	5.900537	-9.870832	4.345696	-13.503922
10	2	-16.011283	-9.100839	-0.227841	-9.352733	-11.395259	-10.188508	-17.266778	6.693591	7.499220	-15.528092	4.446330	-10.264036
11	2	-16.054807	-8.762908	-3.603137	-13.940878	-11.812860	-4.646072	-13.691955	6.751908	6.549014	-18.675743	5.988583	-4.646072
12	2	-15.745296	6.497541	6.468776	-12.151200	6.190888	-9.232700	-13.825692	-8.056875	-4.167952	-7.057049	-8.729822	-9.230586
13	2	-14.518391	0.735546	0.496296	-4.577769	-8.873405	-9.212912	-16.159698	7.655119	5.871648	-11.038568	3.065662	-9.212916
15	2	-19.148486	8.473610	8.044065	-16.238610	6.183930	-13.645117	-18.142443	-10.039849	-4.157183	-9.980824	-8.125050	-13.645115
17	2	-17.890466	-11.363410	-6.976816	-9.997354	-7.923261	-9.188238	-14.079267	4.616904	4.088286	-10.293970	5.721204	-9.187006
18	2	-19.833120	8.157062	6.304461	-12.031296	6.928721	-6.292454	-20.271598	-9.212528	-1.290877	-7.433984	-11.822529	-6.292454
19	2	-18.815250	-10.726431	-3.347691	-9.240093	-6.603923	-12.608423	-18.844769	6.469116	7.353718	-14.437114	8.001802	-12.608423
20	2	-22.366310	-9.880027	-5.976897	-8.820530	-9.468000	-9.888833	-18.546953	5.417778	5.218649	-13.182816	7.392680	-9.888971
21	2	-19.894159	-8.717800	-5.598632	-11.110809	-8.376709	-10.372135	-18.304709	6.883981	5.986398	-16.263329	4.358464	-10.372135
