PHOX2B	SOX10	PRRX1	GATA3	SNAI2	HAND2
-14.800295	-7.505876	-3.880755	-9.398813	-8.471896	-9.681381
-20.366365	-9.195388	-6.360461	-7.136052	-11.941112	-6.859537
-13.182055	-7.760832	-3.639267	-1.768772	-13.854364	-9.283236
-16.424249	-12.394482	-5.208245	-9.666687	-12.553359	-9.370569
-8.771685	-7.459883	-1.566812	-1.762618	-11.827500	-13.606201
-14.248918	-11.891716	-4.137773	-11.738612	-10.613372	-8.444048
-14.627931	-8.479059	-8.991532	-10.310766	-10.942709	-9.546303
-19.395304	-13.355025	-2.182643	-10.939099	-13.642923	-12.609532
-12.781397	5.738611	5.233893	-15.674541	7.254566	-8.110235
-14.773579	-14.803355	-3.500069	-9.818178	-11.530185	-9.472227
-18.775982	-11.873819	-11.278204	-11.334310	-11.493851	-9.975190
-10.574879	-10.895505	-10.606866	-11.974754	-10.829287	-10.955187
-18.513590	-7.220692	-1.700146	-9.560743	-8.927968	-10.610734
-15.830498	-12.153986	-3.588103	-12.501547	-10.757820	-5.993659
-15.804491	-5.409024	-6.768144	-10.729164	-10.130574	-11.951754
-15.255852	-14.158317	-7.344907	-7.761829	-11.957074	-9.976688
-16.559386	-16.030258	-2.750675	-12.421889	-9.268315	-8.431162
-16.539703	-11.082997	-6.304645	-10.608168	-12.150752	-4.341048
-15.183764	-8.139436	0.821204	-9.803403	-15.616559	-10.793588
-17.352226	-10.384262	-3.944090	-2.912422	-15.437156	-11.958644
-16.152550	-10.830001	-7.675776	-9.259351	-7.341654	-13.726143
-14.972991	-10.826223	-1.356900	-10.925516	-13.739842	-12.689983
-18.027004	-11.204743	-5.525798	-9.803337	-13.611553	-7.758483
-15.312588	-2.310544	-0.757425	-10.646484	-14.142302	-6.587064
-16.347529	-7.025564	-10.173580	-11.209897	-10.484965	-12.550812
-17.922384	-7.671812	-3.028932	-10.173709	-13.562835	-16.135816
-16.160951	-12.340396	-7.246436	-6.594078	-9.535113	-8.048561
-17.701253	-13.423843	-5.815640	-6.994070	-2.276248	-10.919327
-17.470465	7.575741	6.434337	-18.267240	9.462303	-5.759009
-18.744345	-11.018322	-6.916418	-12.258036	-12.729096	-10.001526
-17.694182	-5.672685	-4.847976	-10.524786	-12.823783	-10.255455
-18.665852	-9.110111	-9.386539	-11.061954	-9.277171	-11.900660
-19.314035	-11.994341	-7.516739	-4.127319	-16.375876	-14.866387
-14.649787	-8.271575	-5.292462	-10.082816	-10.122542	-10.521882
-17.732603	-4.043213	-7.028806	-10.031657	-18.357911	-9.440175
-17.741377	4.270334	8.554929	-15.322859	7.001930	-6.586021
-15.434415	4.791778	6.331197	-16.679230	6.667436	-9.573277
-21.955400	-7.355619	-8.804665	-5.233457	-14.916156	-9.811725
-19.890500	-12.430267	-7.572193	-11.645710	-8.931406	-4.994840
-18.240913	-10.739204	-2.762726	-8.983955	-14.968451	-9.379135
-14.528950	-10.134632	-5.615902	-8.187638	-11.818345	-9.426989
-19.262734	-9.810669	-6.967160	-5.378936	-10.460892	-3.779134
-9.551362	1.251547	-2.833989	-11.281821	-4.953019	-9.292792
-12.199891	6.294983	7.478470	-14.054639	8.760590	-16.691420
-14.978720	-12.782978	-4.107861	-9.754803	-8.786248	-9.925432
-18.445924	-11.081450	-6.648758	-8.513542	-10.892890	-8.327276
-14.758920	-9.401280	-4.284936	-13.948122	-14.149672	-10.747035
-19.209979	-7.824311	-10.466343	-7.615367	-8.081349	-9.059097
-17.226956	-8.062385	-4.780813	-7.676322	-10.521503	-9.195760
-11.658398	-9.221174	-4.264620	-10.596653	-14.335463	-7.549960
