15	10	-12.298464	7.564044	5.336409	-11.197905	11.750495	-3.790675	-11.993547	-8.528780	-3.688497	-8.800400	-2.725842	-3.790675	4.789347	-14.740248	-3.688497	5.957533	-2.725842	7.731710	4.268667	1.328250	5.293325	3.650004	11.703403	7.727311	4.963717	2.384959	5.178642	3.974630	11.563025	7.702801	4.460690	1.497042	5.275107	3.698607	11.685413	7.723691	5.159470	3.676933	5.025625	4.421190	11.308066	7.663767	4.554417	1.596218	5.263531	3.729762	11.672698	7.721383	5.165131	3.574191	5.039770	4.383865	11.334674	7.667565	4.884819	2.161893	5.201586	3.905904	11.595064	7.708149
102	10	-8.443976	7.344207	7.851366	-8.737753	8.447490	-12.635900	5.719969	1.919100	7.577207	3.418556	8.447299	6.196654	5.622061	2.060201	7.588364	3.418953	8.447298	6.196583	4.681091	-1.576398	6.314109	3.425658	7.864190	6.196329	5.058369	2.751495	7.510237	3.421330	8.447013	6.192997	4.013518	-0.652864	6.495652	3.430330	8.402847	6.188928	6.026534	1.402202	7.475059	3.417456	8.447204	6.196605	5.426493	2.333546	7.586564	3.419774	8.447259	6.196121	5.318774	2.472941	7.573171	3.420232	8.447213	6.195581	5.927738	0.044513	7.288188	3.417287	8.446883	6.196575
157	10	-11.066903	6.419402	8.142061	-16.237413	12.129515	-6.542362	4.394592	0.091229	8.080974	3.075370	10.955898	6.704972	4.779196	1.564382	8.100051	3.064383	11.858730	6.704352	3.875245	-0.190744	8.045500	3.071898	10.276536	6.700055	4.364977	2.031332	8.066753	3.051202	11.297632	6.693400	3.785090	1.383839	8.036785	3.047675	10.214749	6.679139	4.847733	1.226436	8.106343	3.069433	11.888744	6.705534	4.725087	1.700331	8.095132	3.061774	11.800517	6.703314	4.233763	-0.048990	8.070730	3.075037	10.736786	6.704138	4.783356	1.551713	8.100433	3.064608	11.862690	6.704425
249	10	5.809435	-14.396280	-1.018351	3.001337	-8.524328	9.166789	2.786223	1.418082	5.058790	-8.407104	9.181545	3.279869	-5.821062	6.138094	5.061169	-15.818091	10.247558	-6.613348	-9.181243	-5.695398	2.696671	-11.702274	-7.871017	-6.613348	2.830569	-2.870231	5.058189	-7.951559	8.329943	3.355950	3.800615	1.603134	5.060556	-7.969158	10.011763	3.308714	2.874306	-2.917963	5.058336	-7.936857	8.403871	3.356527	4.002199	-1.154915	5.061076	-7.843928	10.096644	3.343833	-9.136412	-8.031284	-0.984790	-11.350047	-8.524157	-6.613348	2.702631	-2.666717	5.057917	-8.004696	8.132133	3.352828
348	10	-12.382177	-9.803714	-4.635012	-11.239593	-8.169180	-7.446382	3.336340	-15.275911	-4.651756	7.261038	-8.169180	7.087295	3.014917	1.557330	4.482910	-6.607463	10.122373	2.645440	-8.508450	7.149546	5.053945	-16.944531	10.129133	-7.446349	2.901954	1.657300	4.481412	-6.911299	10.119720	2.450795	3.126377	1.326499	4.436305	-6.088299	10.125875	3.014868	2.654894	1.799889	4.447363	-7.424629	10.114863	2.177631	3.095401	1.145824	4.376847	-5.852183	10.126628	3.188507	2.836544	1.701789	4.475055	-7.061436	10.118327	2.362902	0.009802	2.143028	3.866192	-7.980879	10.091732	2.002950
441	10	-8.320941	5.689447	3.032625	-12.393789	8.514537	-6.067025	-12.637001	-9.409456	-3.979860	-12.068260	-3.520460	-6.067025	3.378509	-5.679748	-0.381216	6.234132	4.528274	8.290881	0.293154	-2.149107	1.112491	5.109688	5.897021	8.290538	1.831399	-3.806276	0.113750	6.015291	4.733196	8.294107	3.243570	-5.827180	-0.528614	6.258720	4.281723	8.291212	3.098689	-5.898713	-0.659704	6.284012	4.020754	8.291581	3.618715	-5.306123	-0.093309	6.190059	4.939046	8.290318	3.776008	-5.030326	0.097330	6.161446	5.180515	8.289965	6.843836	-0.280876	2.430173	5.431719	7.408387	8.281228
684	10	-6.846835	4.991607	6.369635	-10.971902	12.529218	-2.779514	3.569662	-3.182196	3.476989	5.468703	9.017397	6.379593	3.850059	-3.579781	3.582352	5.280202	9.331133	6.379593	5.542462	-0.654090	6.174921	5.096918	11.083804	6.379593	3.194294	-2.279825	3.832371	5.640331	8.593522	6.379593	5.492478	-0.834989	6.147075	5.081661	11.034664	6.379593	4.060707	-3.701867	3.798332	5.111279	9.560650	6.379593	5.309090	-1.474927	5.985453	5.027525	10.850655	6.379593	5.772888	0.475521	6.228906	5.206834	11.235866	6.379593	3.823089	-3.553194	3.562364	5.300282	9.301419	6.379593
954	10	-7.175009	7.276515	8.312503	-12.580216	11.181773	-10.261545	4.408279	0.302441	6.263239	3.734737	11.153594	6.289317	4.445535	-0.731543	6.386102	3.595911	11.167655	6.307546	4.661253	-0.546594	6.435277	3.608237	11.167782	6.305358	4.454381	0.290219	6.276452	3.733771	11.154018	6.289655	3.135428	-1.352492	6.111890	3.640698	11.147529	6.311283	4.775461	-0.428069	6.460854	3.620722	11.167287	6.303779	4.041645	-1.017816	6.297720	3.593545	11.164855	6.310401	4.014977	0.370259	6.167897	3.736997	11.150795	6.287203	4.736855	0.179108	6.371492	3.720488	11.157436	6.292501
1664	10	-1.978286	-2.521098	0.394322	2.726055	5.109337	-3.952375	-0.660124	-3.283428	0.394831	2.698045	5.908307	-3.951106	3.914774	-10.958955	-1.851077	8.580830	-2.259025	4.103100	-0.258487	-4.199471	0.394889	2.892628	5.829937	-3.764021	-0.699871	-5.582545	0.394888	3.065182	5.247975	-3.699819	-1.174957	-6.188405	0.394802	3.038136	4.819994	-3.785102	-0.501149	-5.149200	0.394899	3.040568	5.479438	-3.675902	-0.541481	-5.247045	0.394898	3.048646	5.431159	-3.678364	-1.925835	1.584982	6.350216	1.754555	12.629142	-4.032624	-2.070168	-5.654813	0.394371	2.900638	4.409959	-3.888716
1936	10	-11.598165	6.253627	5.453542	-11.276634	9.904063	-8.200674	0.807137	-1.292916	4.227714	4.351530	9.153920	5.841324	1.350251	0.607786	4.395860	4.206639	9.163371	5.297583	2.867360	0.569360	4.533088	4.235145	9.194912	5.438390	3.597053	0.169878	4.664851	4.310109	9.243807	5.714068	3.211746	0.467422	4.583134	4.265987	9.210012	5.529464	3.285443	-0.542263	4.678059	4.331518	9.280176	5.942408	4.055092	-12.704003	-6.279829	7.358202	-3.249852	6.276245	3.182478	-0.641111	4.667745	4.334039	9.281221	5.963448	3.392263	0.379277	4.615421	4.284850	9.221468	5.594460
