PHOX2B	SOX10	PRRX1	GATA3	SNAI2	HAND2
-10.065429	7.258589	8.683188	-16.960350	7.467465	-7.680847
3.681600	-9.200152	0.642271	6.509720	-6.551724	5.072130
1.485871	-3.244102	0.658706	-10.654726	-6.516174	-3.728505
3.742944	4.322542	8.683187	0.866328	7.467442	4.580328
-3.752604	-3.022578	0.672467	-11.692521	-6.486865	-7.580300
-7.766789	4.766895	6.417164	-15.175169	-2.353944	-9.356808
-8.091732	-3.615918	-3.727179	-9.213849	-14.993074	-9.288940
5.673080	-6.772498	-3.727348	6.640244	-14.993088	6.195518
-3.833016	2.580614	1.759494	-9.245459	-6.568641	-9.290252
-8.066646	7.460085	7.773245	-15.426032	2.910288	-9.356990
-13.762157	-3.571876	-6.812628	-11.343843	-8.936427	-6.835530
-12.143331	5.294431	4.285869	-14.332793	0.806386	-6.835530
-12.686694	7.140693	4.466138	-14.891975	6.114303	-6.835530
5.159869	2.351926	4.261917	3.658657	5.954851	6.875950
-8.767803	2.781435	0.417777	-11.344073	-2.692868	-6.835530
-8.267485	7.496616	6.625953	-17.241451	6.884789	-3.039574
-8.841908	-4.929824	-4.930801	-11.284145	-9.816591	-3.039574
5.555381	-11.162483	-4.930801	7.486542	-9.817256	6.315919
2.221626	4.279413	6.625949	-6.894297	6.884789	4.990737
6.164144	1.262596	6.478337	1.527586	6.884711	6.315919
-8.915871	6.695339	6.526033	-14.084418	6.464906	-12.639954
5.105821	-14.511477	-6.260414	6.420681	-11.391913	5.780524
-9.799595	-11.119111	-6.228238	-11.449909	-11.391912	-12.579336
2.945857	4.806735	6.470986	-2.521784	6.464855	3.717899
5.985772	3.292623	6.339994	3.927296	6.464710	5.737622
-11.241307	8.872146	8.561749	-12.056807	6.917243	-12.082654
4.785313	4.898951	8.561749	5.505799	6.917243	5.766301
-11.355025	-4.079094	0.788857	-11.834303	-5.884925	-12.082656
-0.205888	8.821778	8.561749	1.907570	6.917243	3.815061
3.695858	-7.020027	0.572599	5.735620	-6.212716	5.752499
4.611038	-16.636954	-5.417517	7.276136	-9.429705	7.638036
-13.054093	-11.498369	-5.417517	-5.171504	-9.399921	-7.915710
-10.550895	6.601888	6.181105	-10.296019	7.301257	-9.280613
-1.266324	-11.498818	-5.417517	6.959659	-9.399930	5.926882
4.363630	1.893670	6.171934	1.537413	6.994897	0.800046
5.377838	-11.778064	-5.805051	7.294101	-7.048107	3.382304
-10.125731	-8.003279	-5.805047	-9.944276	-7.047058	-11.422072
-7.410030	6.207837	4.684473	-11.267540	5.903174	-11.422072
6.704927	0.304477	4.684136	6.116218	5.503396	3.382326
