1	3	-2.106904	-10.283617	-8.184060	1.069164	-11.198930	8.946492	-14.658038	-10.207103	-8.184060	-11.729506	-11.197942	-4.840135	3.720996	-12.204423	-8.184060	5.754968	-11.212346	12.505865
6	3	-8.643693	2.085788	2.896607	-12.228005	-5.789576	-8.419397	7.754647	-10.646027	-2.929979	4.090054	-12.668062	8.913238	-10.461460	7.070925	5.593837	-17.135897	5.718873	-8.424699
7	3	-8.417324	3.443532	8.070073	-14.698627	6.269291	-4.385078	2.801901	-1.397214	7.889192	2.533135	6.096079	12.010271	4.518743	-13.286824	3.246515	5.544416	-4.525149	12.488117
8	3	-12.106861	-11.895586	-4.317518	-13.761400	-9.928145	-6.457585	5.079339	-17.593451	-4.317523	4.411224	-9.933171	8.633803	-8.853022	5.368995	5.629736	-18.638346	4.227589	-6.456049
12	3	-13.982762	-7.671687	-1.333058	-15.492650	-12.254494	-7.650556	3.304859	-14.382770	-4.802213	3.112966	-12.254495	10.250362	-10.487354	5.281198	6.377023	-21.411215	5.292509	-7.650556
13	3	-10.666431	-11.453093	-5.140843	-5.981553	-16.011349	2.613699	1.523352	3.227791	6.413857	3.740199	3.382415	13.602729	-10.248982	6.107960	6.619948	-8.347164	3.480183	2.652407
16	3	9.187461	-16.408536	-1.756959	5.582646	-9.398261	11.924077	-11.811580	5.633772	7.434780	-16.480693	6.820400	-2.532672	-7.209137	-10.004912	-1.756959	-13.096948	-9.355561	-2.526994
18	3	8.523249	-14.478420	-2.359128	5.370211	-6.191629	12.433235	-11.821952	3.948821	7.476163	-17.474024	7.684671	-1.267525	-8.952559	-10.550571	-2.359128	-11.352912	-6.191629	-1.267522
21	3	-16.134765	-8.913109	-2.293545	-11.824820	-14.867094	-5.642831	-9.416788	-8.913109	-2.293545	-1.322107	-14.867094	5.580428	-9.946848	5.002807	4.068537	-12.127033	2.296494	-5.642820
25	3	-6.794358	-0.005365	-1.433499	-11.613027	-4.971662	-4.135880	2.949891	-4.452078	-5.749741	5.869676	-11.265936	11.803632	-12.464183	8.351149	5.391885	-17.576413	4.534195	-4.135880
29	3	-15.434846	-9.115051	-4.859626	-10.342253	-7.374881	-6.633894	-11.718568	5.659510	6.652969	-12.784829	5.253739	-6.633923	4.051218	1.908909	6.441277	4.724753	5.252726	10.128898
31	3	-5.800230	6.389721	8.838778	-19.586672	8.519533	-6.212833	5.713262	-10.509353	-4.364494	5.904804	-7.925596	11.739222	-6.820575	-2.759553	-4.309338	-13.311938	-7.878876	-6.212835
32	3	-12.643040	-11.905605	-6.543393	-10.082617	-10.824555	-3.648348	2.341144	-13.141356	-6.551674	5.090270	-10.856268	12.032418	-3.850534	-11.932481	-6.543658	-0.163344	-10.825561	6.717695
33	3	-9.541793	-8.746392	-1.517026	-9.115787	-8.151452	-8.440885	-4.141311	5.345335	7.717868	-15.687700	5.582991	-8.440785	2.334310	-13.190054	-1.517043	7.056856	-8.151899	8.120459
