89	7	5.429101	-15.450393	-0.060045	9.323298	0.363456	6.962126	6.660916	-3.522310	4.611273	8.448711	4.891176	6.959284	-6.048814	6.801950	7.591731	-12.944664	9.807718	-6.199011	2.337434	4.384950	7.558675	-2.666510	9.806619	-0.697713	-9.382609	-9.895244	0.084653	-7.358268	0.384553	-6.116124	5.526546	-15.690536	-3.637719	9.323405	-6.304369	6.962127	2.338606	4.379711	7.558529	-2.649575	9.806614	4.138623
254	7	-14.404874	5.655050	6.709607	-9.644739	13.113072	-10.138697	-11.952722	-0.548123	0.364952	-7.497018	5.716289	-10.138697	-14.838033	-11.798233	-4.860175	-7.421217	-3.522372	-10.138697	1.618260	-3.408194	-0.054149	6.170331	4.852793	6.042893	1.565062	-9.285549	-0.054153	6.164949	4.852787	5.948039	1.565073	-14.161856	-4.860175	6.221539	-3.522372	5.948059	2.304643	2.770939	6.709090	4.046182	13.112797	6.888345
407	7	-10.959809	-8.509492	-1.351300	-7.532536	-1.256908	-8.094174	3.171436	-9.902368	-1.352797	6.485434	-1.364280	8.513379	5.582637	5.954342	5.881258	4.740564	11.536777	8.633658	-9.865502	-2.078571	-0.431269	-7.557210	4.724242	-8.029829	-8.618534	9.053342	5.881258	-9.460228	11.555085	-7.876078	3.382095	-3.621827	-0.647276	6.543264	3.582417	8.532801	0.357336	-2.386428	-0.568382	4.988238	4.501038	7.845219
455	7	-1.275765	-9.315001	-7.539718	3.769360	-9.381464	-5.467102	-12.466029	-9.031061	-7.539606	-1.240243	-9.381446	-8.406418	-10.108789	8.595210	3.993748	-2.145077	9.047474	-10.284346	-7.386692	-9.031127	-7.539606	3.468232	-9.381446	-5.467110	5.906930	2.294616	3.943981	5.328232	8.933556	6.137520	1.573366	5.151146	3.992790	4.702563	9.045348	-4.702833	3.678325	2.732267	3.966401	4.733679	8.985715	0.454616
471	7	-8.244250	7.746095	6.993666	-17.910178	12.050762	-3.053210	4.804790	1.409375	6.524022	0.888808	11.925322	6.302861	-7.054864	7.746095	6.993666	-14.294430	12.050762	2.039324	5.009343	-9.532827	-4.268483	6.561416	-2.827595	6.603456	4.708491	-3.497551	3.636620	6.398950	4.488456	6.602393	-8.167769	-3.162327	-2.005429	-12.503275	-2.398943	-3.053024	-6.978552	-3.162327	-2.005429	-8.870953	-2.398943	2.046066
547	7	-5.643647	5.208816	5.955317	-12.577035	11.241400	-10.754948	4.466227	-13.692861	-0.405646	6.119763	4.638947	4.617991	-9.604521	-6.744864	0.097169	-9.228248	4.651715	-10.754926	3.980353	-13.543680	-0.405108	3.125079	4.638961	-1.060332	-10.441008	-12.047818	-6.744057	-9.255515	-1.454201	-10.754927	4.456960	-18.060761	-6.759611	6.118767	-1.454579	4.617986	3.969898	-17.906402	-6.759583	3.123444	-1.454578	-1.060495
548	7	-8.664862	-7.309750	1.668216	-10.416670	2.665769	-11.644536	3.082236	-12.663467	1.668216	5.207255	2.665768	-0.789951	5.739022	-12.826198	1.668216	7.916129	2.665768	5.508211	-10.250118	4.446189	6.392793	-15.162656	12.334144	-11.644536	-8.664292	-12.303514	-2.598519	-10.399973	-4.477454	-11.644536	5.739630	-17.819963	-2.598519	7.931487	-4.477454	5.508211	3.083225	-17.657444	-2.598519	5.222967	-4.477454	-0.789761
565	7	-4.940899	6.943296	6.726142	-15.397406	8.031006	-8.887375	-6.510109	-9.225152	-1.888319	-10.340520	0.453843	-8.887642	6.017173	-14.011697	-2.207091	6.878951	0.303948	6.421161	5.269956	3.030581	6.726119	-4.872171	7.800698	3.714026	-6.510109	-11.327278	-3.996694	-10.340518	-5.852104	-8.887642	7.540751	1.931861	6.725188	1.615765	7.562942	6.339768	6.017173	-15.704464	-3.996695	6.878952	-5.870612	6.421161
694	7	-11.452817	-6.306006	-0.160924	-2.161703	3.664351	-6.292915	4.037001	-16.453253	-4.591368	7.382528	-3.455780	7.437401	3.909079	-11.531198	-0.511618	7.381233	2.586589	7.407507	-9.579936	3.275442	6.029959	-12.463552	11.614188	-6.282275	-1.272972	-6.370259	-0.169209	3.597649	3.631371	4.435494	-11.287327	-12.077330	-4.574896	-2.158292	-3.427197	-6.292317	-1.007400	-12.123132	-4.575433	4.365382	-3.428126	4.629342
815	7	-11.618196	4.963006	6.727011	-14.166341	11.817237	-10.351946	1.016852	-4.666860	3.502575	6.645499	8.376305	5.668476	0.912904	-4.430914	3.502572	6.598896	8.376491	5.595149	1.322830	-4.352597	3.502576	6.580005	8.377230	5.571551	0.887625	-4.535678	3.502572	6.618125	8.376305	5.624534	1.393090	-4.690111	3.502581	6.665076	8.376782	5.705752	1.556786	-4.408558	3.502580	6.593833	8.377485	5.597901
