PHOX2B	SOX10	PRRX1	GATA3	SNAI2	HAND2
5.721484	-17.889034	-6.955369	7.196710	-5.019288	7.304340
-12.494945	-11.781854	-6.955347	-10.749579	-5.000826	-11.187036
-10.063760	3.921790	4.578861	-11.571637	11.034743	-10.974788
-10.121951	6.044682	5.020254	-10.180420	10.204452	-9.126905
-14.747968	-10.129485	-4.212982	-8.484756	-6.299436	-9.126906
8.478746	1.620215	5.002903	4.794704	10.193236	6.841521
4.514837	1.303118	7.194014	-1.655126	9.645788	4.471529
5.785511	-14.109444	0.645137	4.621868	-2.115227	4.865352
-6.728840	4.901307	7.413635	-7.720365	10.182109	0.113331
-14.265457	6.893941	8.840765	-15.329621	10.386554	-5.554795
-11.215998	-10.979538	-3.161399	-10.700463	-8.129237	-5.554795
5.835763	-12.389286	-3.161399	7.248999	-8.129237	7.472247
-6.440139	7.743295	6.419365	-12.990802	12.133369	-10.666852
-12.069467	-9.478275	-3.314231	-7.758410	-6.251420	-10.843385
8.138927	3.410800	6.419365	4.096461	12.133369	2.815984
-14.874355	7.427503	6.474192	-17.153384	8.256890	-10.175283
-13.507801	-6.233284	-3.213108	-10.870056	-8.059336	-10.173041
1.241455	-6.718554	-3.213141	7.265804	-8.059493	5.500445
-11.979032	5.147919	5.286205	-6.183473	11.755015	-9.614806
4.132955	-15.043183	-7.085444	9.157277	-3.096032	6.710520
-15.580507	-9.828223	-7.067801	-3.822353	-3.001533	-9.614807
6.903109	3.696464	7.933474	1.982268	12.296246	5.632275
5.706026	-6.595533	1.630787	7.722434	7.547261	5.632269
-9.173347	8.074915	7.933478	-14.278514	12.296251	-11.474398
5.103333	-16.837977	-3.857197	4.672301	-4.851888	8.274681
-12.433258	-10.232896	-3.857197	-11.925326	-4.851888	-3.306577
-12.083814	4.103507	7.948243	-13.518970	12.156188	-3.306577
-13.664887	8.350352	7.918091	-15.416553	12.075000	-9.325425
1.519356	-9.696649	-4.376660	5.668051	-7.205758	6.397133
-13.628362	-9.557205	-4.376643	-9.117731	-7.193802	-9.180542
-6.210156	4.158019	5.906527	-14.958434	11.528906	-12.565272
4.524476	-14.238365	-4.638923	6.612149	-6.395648	6.378284
-8.582408	-7.748574	-4.635000	-9.712056	-6.395647	-12.556837
2.568780	-18.196257	-5.568457	6.729290	-5.800167	6.031201
-6.540247	-12.868135	-5.568457	-8.903344	-5.800167	-8.651854
-6.433719	6.227718	6.809033	-15.050469	9.280332	-8.987073
3.927566	0.193388	6.336472	3.889371	10.680850	5.105980
-11.309781	5.804947	8.165879	-14.515998	10.682241	-12.136798
-12.414386	-7.693203	-1.784226	-11.141220	-4.384594	-12.136798
6.139692	1.274346	5.529604	0.555018	11.302933	5.744277
-9.588805	7.384985	5.533338	-13.930394	11.392423	-11.858091
4.293624	-8.301246	0.535397	6.015949	4.877046	6.352086
-7.072348	7.093996	6.393580	-16.782821	10.376180	-8.531065
5.742299	-14.507488	-5.651809	7.322743	-7.022445	7.214733
-4.153384	-10.760362	-5.651809	-9.909507	-7.022395	-8.530658
-13.848965	-7.527921	-6.643425	-12.004532	-6.559208	-5.333451
3.515565	-9.223971	-6.643428	3.116703	-6.559209	7.342877
-13.956000	4.083189	5.211176	-15.727772	8.909713	-5.333451
-8.650175	7.366314	4.383700	-8.604035	11.195480	-12.208021
2.867345	-3.925224	-7.219564	1.519145	-7.333223	-1.534530
3.458369	-5.785970	-7.219591	6.649780	-7.333571	4.987370
-8.886356	6.052737	5.808912	-12.596285	11.569329	-9.690586
-11.054042	-8.996193	-2.977373	-8.116248	-0.462549	-9.726037
6.003422	-14.960944	-3.310667	6.800522	-0.757808	7.248463
-12.582026	-8.763624	-3.229758	-12.810293	-3.435273	-11.029751
-13.698535	7.066808	7.507902	-18.243960	12.611515	-11.035405
-12.579870	-4.324647	0.796485	-12.810421	3.833756	-11.029735
-7.066874	-7.525453	-6.234730	-12.809728	-5.561487	-7.267778
-11.173661	5.778334	6.322224	-18.088657	9.998617	-7.560521
8.729659	-11.119748	-6.234730	3.599631	-5.561487	9.047735
6.199470	-16.519755	-1.387915	9.016738	-4.150753	5.388326
-11.056875	6.805739	7.231595	-13.273817	11.352619	-13.830468
-6.722287	-10.625534	-1.387852	-2.262914	-4.150709	-13.782768
-7.023685	2.527708	4.241667	-11.885904	11.967099	-10.624275
-9.812719	-5.585395	-1.558588	-10.978935	3.652046	-10.624275
5.323293	-13.479057	-1.779372	6.122801	3.651576	7.893473
-8.328401	4.808586	6.866737	-19.617415	11.146691	-10.825696
-9.596796	-5.112842	-3.166961	-13.948580	-2.999309	-10.825718
4.781605	-2.472305	3.427102	2.260526	5.499860	6.526313
-12.567735	-4.861516	-0.423155	-7.472084	4.521952	-11.378044
2.172770	-10.703348	-0.423155	6.620429	4.521952	6.594634
-14.646381	3.904949	5.905135	-8.718037	8.596878	-11.378081
-6.452713	5.758041	4.404804	-8.819583	12.840049	-9.234499
6.566839	-12.853762	-6.590334	8.378056	-5.382323	6.952067
-8.803824	-8.942343	-6.590334	-7.644782	-5.382323	-9.234260
-8.788887	-7.731081	-6.525808	-12.156659	-3.683041	-10.987360
2.461539	-8.225089	-6.525808	5.680091	-3.689598	4.189061
-3.247400	6.214293	4.847140	-11.745945	10.202408	-10.966401
-5.351647	-13.265832	-3.518675	-11.209204	-1.430735	-10.345363
-3.821777	5.681902	6.934082	-15.541275	10.510838	-9.895692
3.902483	-16.924704	-3.518675	7.046050	-1.430735	4.630604
-10.133434	7.828476	7.215525	-13.860239	13.824819	-9.795832
-9.822572	-5.716247	-2.052397	-7.612050	-2.499392	-9.795819
4.825639	-5.577089	0.608980	3.507895	4.365266	7.728691
-11.068181	8.212814	8.376770	-15.237531	12.211796	-12.100253
-10.553780	-6.185162	-2.959664	-9.921410	0.384776	-12.100252
0.660494	-6.190714	-2.959665	2.606408	0.384776	-3.910606
-15.137466	-10.817374	-4.155503	-10.287802	-6.529008	-10.911055
-15.039827	6.729320	7.579012	-13.861424	9.931832	-10.911055
3.522379	-16.434924	-4.155503	5.075422	-6.529008	6.865880
-7.707035	-11.296562	-5.567343	-11.310937	-3.299580	-7.738188
-8.537147	6.061977	7.311251	-17.295102	9.640402	-7.738194
-7.707260	-2.980017	1.000522	-11.315363	4.563367	-7.738188
-11.164394	7.077332	5.901151	-17.293097	11.973227	-11.017632
-11.549072	-12.458120	-1.480713	-11.442528	-4.568576	-11.022327
4.387624	-17.944220	-1.481004	4.715655	-4.568576	6.371096
-11.804189	5.770467	6.711771	-20.334159	11.659029	-7.585509
-11.587021	-11.100648	-4.292759	-16.328636	-3.977508	-7.585509
5.424038	-13.714239	-4.292759	3.058137	-3.977510	8.794426
-6.325443	-1.227304	3.778103	5.240264	10.338550	6.674397
-1.505294	5.171504	6.313777	3.836696	12.082254	6.610608
-5.675650	-7.382626	-2.394942	5.939538	-1.149618	6.701267
-6.396080	6.539761	6.172075	-17.789112	8.185036	-7.979541
-5.147714	-8.807307	-0.364697	-11.607340	-7.904280	-7.762253
7.539107	-15.084927	-0.370222	6.749670	-8.026475	7.518754
-10.910271	8.334410	7.427852	-17.242668	12.380011	-6.320585
2.272477	7.945747	7.427826	1.256174	12.380011	6.520672
-14.224101	-4.194110	-3.946186	-12.811588	-4.501226	-6.320585
-12.353222	7.610127	7.581933	-17.317407	10.669095	-8.461390
-12.656509	-9.932984	-1.176635	-10.729802	-2.171448	-8.461390
5.029891	-13.940494	-2.486891	5.909707	-2.247187	5.504915
-11.735906	7.320370	6.486777	-12.819683	11.345169	-11.971245
-9.604613	-7.475659	-4.286039	-10.299103	-6.091172	-11.971138
3.674459	-7.203104	1.618153	7.340441	5.621838	4.651181
-13.256534	6.570028	6.860937	-16.473139	9.654413	-9.966583
4.404712	-16.946982	-2.252360	5.962373	-0.888193	7.735672
-12.252138	-11.389166	-2.252360	-11.070743	-0.888193	-9.966583
-12.199914	-12.596063	-7.635001	-7.824706	-2.269101	-9.476395
3.374753	-15.283287	-7.635001	6.854908	-2.269120	6.967616
-8.963197	4.056714	4.873589	-10.719479	11.971499	-9.765387
-5.682428	5.120276	5.578382	-11.405574	12.602756	-9.625025
-8.610237	-4.140516	2.152421	-7.299770	8.099838	-9.625020
5.553394	-7.880146	1.517130	6.871112	6.133319	5.225977
-5.412774	-8.354103	-3.442320	-8.520716	-5.935248	-13.950862
6.539760	-12.969390	-3.442321	5.372768	-5.935657	2.613945
-13.798997	4.993282	7.130308	-14.234692	11.914440	-13.996437
6.866293	-15.404704	-5.206287	7.236430	-6.800789	9.412525
-13.671730	5.825267	4.850067	-11.061770	10.926953	-5.564237
5.489938	2.911328	4.849868	1.970461	10.890345	9.411754
-8.435770	7.610044	7.120337	-13.915521	12.039855	-7.866451
-8.027068	-10.021939	-4.874178	-8.918480	-6.796613	-7.866451
5.281158	-13.441565	-4.874198	6.066981	-6.796613	7.614660
-14.673262	-1.342519	-1.048595	-13.317297	3.272529	-8.333610
-11.990199	5.442873	4.460443	-13.874825	11.776505	-8.333608
-17.605877	-6.961887	-6.368040	-13.297502	-3.314231	-8.333610
-8.051334	6.707651	6.080720	-13.112485	11.424842	-7.779669
3.906967	3.107949	6.080720	1.358234	11.413725	5.157435
6.223718	-6.883252	1.398951	5.881707	7.705939	5.285384
-13.457845	-5.419999	0.624654	-10.240073	2.967491	-8.906375
-13.628799	6.332139	6.571266	-15.896654	13.757626	-8.920564
-13.453091	-11.103806	-1.903656	-9.760798	-4.560556	-8.900713
-7.194227	-12.525830	-4.514747	-10.631499	-4.889540	-7.887070
-9.900391	6.166649	7.314089	-16.448184	11.041715	-7.888322
5.267935	-19.015297	-4.514755	6.002780	-4.889564	6.992661
-9.844051	6.799971	7.558345	-11.506380	12.417104	-14.346972
-0.019743	-11.101260	-3.947611	2.255003	-5.619471	-5.286109
-8.389442	-10.724493	-3.947607	-6.704748	-5.612249	-13.852623
-11.579615	6.772914	6.481400	-13.627899	11.285707	-9.626038
-9.649113	-8.115094	-1.205747	-7.415612	-3.942200	-9.626038
4.165259	-14.526922	-1.218794	6.417486	-3.942248	7.113384
-9.363606	6.172562	9.686691	-17.115107	11.985906	-8.001742
-9.016235	-8.230381	-2.309477	-11.165786	-5.182321	-8.001727
7.740927	-11.541670	-2.359567	6.339261	-5.399059	7.285563
